EngWord,PolWord,EngSen,PolSen
to state,określić,I was just stating a fact.,Właśnie stwierdzałem fakt.
to claim,domagać się,Is he claiming to be an expert in that field.,"Czy twierdzi, że jest ekspertem w tej dziedzinie?"
to point out that,wskazać na to,He pointed out that sales were growing.,"Zwrócił uwagę, że sprzedaż rośnie."
to confess,przyznać się,I didn't want to confess that I wasn't informed.,"Nie chciałem wyznać, że nie zostałem poinformowany."
to object,sprzeciwiać się,The local community objected to the building of a shopping center.,Społeczność lokalna sprzeciwiła się budowie centrum handlowego.
to interrupt,przeszkodzić,Sorry to interrupt but could I just ask you about one thing.,"Przepraszam, że przeszkadzam, ale czy mogę tylko zapytać o jedną rzecz."
to threaten,grozić,They threatened that they would go on strike.,"Grozili, że strajkują."
to insist,nalegać,She insisted on paying for everything.,Nalegała na wszystko.
two insinuates,dwa insynuują,He insinuated that she was having a fat.,"Zasugerował, że miała tłuszcz."
to imply,sugerować,The evidence implied that he'd been at fault.,"Dowody sugerowały, że był winny."
to tease,drażnić,The kids at school would tease me about my glasses.,Dzieciaki w szkole droczyły się ze mną na temat moich okularów.
two word ge,dwa słowa ge,The police urge any witnesses to contact them immediately.,Policja wzywa wszystkich świadków do niezwłocznego skontaktowania się z nimi.
to emphasize,podkreślenie,The boss emphasize that he'd already given me a pay rise twice.,"Szef podkreśla, że już dwukrotnie dał mi podwyżkę."
to mumble,bełkotać,The kid mumbled that he was sorry and hung his head.,"Dzieciak wymamrotał, że mu przykro i zwiesił głowę."
to start to,zacząć,When I was a teenager I used to study a.,"Kiedy byłem nastolatkiem, uczyłem się."
to sold,na sprzedaż,She was very upset I had to solving all night long.,"Była bardzo zdenerwowana, którą musiałem rozwiązać całą noc."
to mock,drwić,She's always marking his Italian accents.,Zawsze zaznacza jego włoskie akcenty.
to persuade,przekonać,We tried to persuade her to accept the invitation.,Próbowaliśmy przekonać ją do przyjęcia zaproszenia.
persuasive,przekonujący,Their argument sounded very persuasive.,Ich argumentacja brzmiała bardzo przekonująco.
concise,zwięzły,Concise instructions are easier to understand.,Zwięzłe instrukcje są łatwiejsze do zrozumienia.
coherent,zgodny,He spoke a lot but it didn't sound coherent.,"Mówił dużo, ale nie brzmiało to spójnie."
eloquent,wymowny,She's such an eloquent speaker isn't she.,"Ona jest tak wymownym mówcą, prawda?"
incomprehensible,niezrozumiały,Is it me or is this form totally incomprehensible.,"Czy to ja, czy ta forma jest całkowicie niezrozumiała."
to come to a conclusion,dojść do wniosku,I've come to the conclusion that I should change my career path.,"Doszedłem do wniosku, że powinienem zmienić ścieżkę kariery."
to jump to conclusions,wyciągać wnioski,Don't jump to conclusions is not the way you think.,"Nie wyciągaj pochopnych wniosków, nie tak myślisz."
household,gospodarstwo domowe,I promise you a color TV in every household.,Obiecuję ci kolorowy telewizor w każdym domu.
to sign the lease,podpisać umowę najmu,We haven't signed a lease with the landlord yet.,Nie podpisaliśmy jeszcze umowy najmu z właścicielem.
to pay the bills,płacić rachunki,I don't always pay the bills on time.,Nie zawsze płacę rachunki na czas.
deposit,kaucja,The landlady wanted one month's deposit.,Gospodyni chciała miesięcznego depozytu.
notice,ogłoszenie,Miley's requires ninety days notice.,Miley wymaga 90-dniowego okresu wypowiedzenia.
property,własność,We waiting for the price of property to drop.,Czekamy na spadek ceny nieruchomości.
to collect the rent,odebrać czynsz,The landlord collects the rent on the fifth of every month.,Właściciel pobiera czynsz piątego dnia każdego miesiąca.
to evict,wyeksmitować,You cultivate to pregnant woman it's against the law.,"Uprawiasz kobietę w ciąży, jest to niezgodne z prawem."
estate agent,agent nieruchomości,I have an appointment with an estate agent about a flat tomorrow.,Jutro mam spotkanie z agentem nieruchomości na temat mieszkania.
mortgage repayments,spłaty kredytów hipotecznych,The mortgage repayments are killing me.,Spłacają mnie hipoteki.
to put up for sale,wystawić na sprzedaż,They sell the house within a week of putting it up for sale.,Sprzedają dom w ciągu tygodnia od wystawienia go na sprzedaż.
to lower the asking price,obniżyć cenę wywoławczą,I'm afraid you'll have to lower the asking price for this house.,"Obawiam się, że będziesz musiał obniżyć cenę wywoławczą tego domu."
penthouse,daszek,The luxury penthouse in that building is for sale.,Luksusowy penthouse w tym budynku jest na sprzedaż.
mobile home,ruchomy dom,They've decided to sell their flats and move into the mobile home.,Zdecydowali się sprzedać swoje mieszkania i wprowadzić do mobile home.
comes in as,przychodzi jako,Only the spare key for you with the concierge as.,Tylko zapasowy klucz dla ciebie z Concierge as.
to entertain guests,bawić gości,And today the guests when I tried to swords dance okay.,"A dzisiaj goście, kiedy próbowałem mieczy, tańczą dobrze."
to be homesick,tęsknić za domem,It's great but I'm home sick I miss you guys.,"Jest świetnie, ale jestem chory, tęsknię za wami."
to drill a hole,wywiercić otwór,We need to drill for holes to put this shelf up.,"Musimy wywiercić otwory, aby postawić tę półkę."
to hammering a nail,do wbijania gwoździa,They were hammering nails at seven AM on a Saturday.,W sobotę wbijali gwoździe o siódmej rano.
to chop wood,rąbać drewno,My uncle was chopping wood for the fireplace.,Wujek rąbał drewno do kominka.
dry cleaners,pralnia chemiczna,I think I'll have to give it to the dry cleaners.,"Myślę, że będę musiał go oddać pralniom chemicznym."
to put up shelves,rozłożyć półki,Did you put these shelves up yourself.,Sam postawiłeś te półki.
to finish a house,dokończyć dom,The Johnsons had the house finished by professional interior designer.,Dom Johnsons został wykończony przez profesjonalnego projektanta wnętrz.
to assemble furniture,montować meble,We had the furniture assembled by a team from the shop.,Mieliśmy meble zmontowane przez zespół ze sklepu.
to leak,wyciekać,Is the roof leaking we need to get it fixed.,"Czy dach przecieka, musimy go naprawić."
to flush the toilet,spłukać toaletę,This place leaks when I flush the toilet.,"To miejsce przecieka, kiedy spłukuję toaletę."
delay wooden flooring,opóźnij drewniane podłogi,We're not going to have the wooden flooring laid by that team.,Nie będziemy układać drewnianych podłóg przez ten zespół.
to do the plumbing,robić hydraulikę,We had the plumbing done by a friend.,Mieliśmy hydraulikę wykonaną przez przyjaciela.
clogged,zatkany,The sink is clogged handle and clog it's.,Zlew ma zatkany uchwyt i zatkany.
to insulate the house,izolować dom,We're going to have the house insulated before winter.,Będziemy izolować dom przed zimą.
soulmates,bratnie dusze,She asked me if I considered him my soulmate.,"Zapytała mnie, czy uważam go za bratnią duszę."
to have a lot in common,mieć wiele wspólnego,He wanted to know whether we have a lot in common.,"Chciał wiedzieć, czy mamy ze sobą wiele wspólnego."
to see eye to eye on me,widzieć mnie oko w oko,She wondered if we saw only to own this.,"Zastanawiała się, czy widzieliśmy tylko to."
to defer,odłożyć,Yes me if would always differed from each other.,"Tak, jeśli zawsze będzie się od siebie różnić."
to keep in touch,pozostać w kontakcie,She asked me if I wanted to keep in touch.,"Zapytała mnie, czy chcę pozostać w kontakcie."
to keep an eye on,Pilnować kogoś,Yes me to keep an eye on his son.,"Tak, żebym miał oko na jego syna."
motherhood,macierzyństwo,She wanted to know how motherhood changed me.,"Chciała wiedzieć, jak zmieniło mnie macierzyństwo."
friendship,przyjaźń,He wanted to know whether it was a close friendship.,"Chciał wiedzieć, czy to była bliska przyjaźń."
to make a good first impression,zrobić dobre pierwsze wrażenie,She was curious whether she'd made a good first impression.,"Była ciekawa, czy zrobiła dobre pierwsze wrażenie."
lifelong,trwający całe życie,I wondered if it was going to be a life long friendship.,"Zastanawiałem się, czy to będzie przyjaźń na całe życie."
lasting relationship,Trwały związek,We wondered if it would turn into a lasting relationship.,"Zastanawialiśmy się, czy zmieni się w trwały związek."
the Clintons,Clintonowie,She was just an old acquaintance honest.,Była tylko starą znajomą szczerą.
to embrace,ogarnąć,My father embraced me warmly and wished me good luck.,Ojciec przytulił mnie ciepło i życzył powodzenia.
to give birth,urodzić,I've heard she's already given birth.,"Słyszałem, że już urodziła."
foster family,Rodzina zastępcza,My husband was raised in a foster family.,Mój mąż wychował się w rodzinie zastępczej.
intimacy,intymność,The intimacy between them seem to have disappeared.,"Wydaje się, że intymność między nimi zniknęła."
on friendly terms,na przyjaznych warunkach,We try to be on friendly terms with the lan neighbors.,Staramy się być w przyjaznych stosunkach z sąsiadami lan.
not on speaking terms,nie odzywać się,We're not on speaking terms I want say hi to him from you sorry.,"Nie rozmawiamy o warunkach. Chcę się z tobą przywitać, przepraszam."
on first name terms,na warunkach dotyczących imienia,Are you really on first name terms with the teacher.,Czy naprawdę rozmawiasz z nauczycielem?
on the same wavelength,na tej samej długości fali,It just seems like we're on the same wavelength.,"Wygląda na to, że jesteśmy na tej samej długości fali."
to have an affair,mieć romans,He had an affair with his secretary a classic case.,"Miał romans ze swoją sekretarką, klasyczny przypadek."
middle name,drugie imię,I'll need your middle name and your mother's maiden name please.,Potrzebuję twojego drugiego imienia i panieńskiego nazwiska twojej matki.
IVF treatment,Leczenie IVF,They tried IVF treatment as you got pregnant.,"Próbowali leczenia in vitro, gdy zaszłaś w ciążę."
morning,ranek,At that time he was still in mourning for his wife.,W tym czasie nadal żałował swojej żony.
Lena,Lena,She's always been rather leave.,Zawsze była raczej odejść.
bony,kościsty,He would be a handsome guy if he wins a bony.,"Byłby przystojnym facetem, gdyby wygrał kość."
to be underweight,niedowagę,I'm a few kilos underweight in relation to my height.,Mam kilka kilogramów niedowagi w stosunku do mojego wzrostu.
goose bumps,gęsia skórka,Listening to that music gave me goose bumps.,Słuchanie tej muzyki wywołało u mnie gęsią skórkę.
sunken cheeks,zapadnięte policzki,The sunken cheeks and gray skin made her look ill.,"Zapadnięte policzki i szara skóra sprawiały, że wyglądała źle."
to die,umrzeć,I'm going to have my hand dyed tomorrow.,Jutro mam farbować rękę.
to lighten,rozjaśnić,I wonder how you would look with you Hey lightened.,"Zastanawiam się, jak byś wyglądał z tobą Hej rozjaśniony."
highlights,najważniejsze,I've never had highlights done is it expensive.,"Nigdy wcześniej nie robiłem pasemek, czy to jest drogie."
Ponting,Ponting,The girl had pig tails in a center parting.,Dziewczyna miała rozstawione ogony świni.
blemish,skaza,She puts a make up on to cover the blemishes.,"Nakłada makijaż, aby zatuszować niedoskonałości."
stunning,oszałamiający,She looked stunning in that dress and high heels.,Wyglądała oszałamiająco w tej sukience i na wysokich obcasach.
still key,wciąż klucz,I wouldn't say Starkey's rather toll.,"Nie powiedziałbym, że Starkey jest raczej płatny."
forgetful,zapominalski,I'm already forgetful what will happen when I'm old.,"Już zapomniałem, co się stanie, gdy będę stary."
gullible,łatwowierny,You have to be really gullible to believe that.,"Musisz być naprawdę łatwowierny, żeby w to uwierzyć."
judgmental,osądzający,Why you being so judgmental.,Dlaczego jesteś taki osądzający.
conscientious,sumienny,Our new trainee is very conscientious and thorough.,Nasz nowy stażysta jest bardzo sumienny i dokładny.
suspicious,podejrzany,Why you was so suspicious of everyone.,Dlaczego byłeś tak podejrzliwy wobec wszystkich.
superficial,powierzchowny,Several superficial that runs in the family.,"Kilka powierzchownych, które działają w rodzinie."
results full,wyniki pełne,We the resourceful and courageous manager.,Jesteśmy zaradnym i odważnym menedżerem.
versatile,wszechstronny,She's not versatile enough for this business.,Nie jest wystarczająco wszechstronna dla tego biznesu.
condescending,protekcjonalny,You'd better stop with that condescending attitude okay.,"Lepiej przestań z tą protekcjonalną postawą, dobrze."